location_name,Month,TotalDevices,CENTER_ID,BldgGroupID,BldgGroupName,Group,Region
Tanger Outlets Charleston,2020-01-01,19102,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2020-02-01,18451,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2020-03-01,11508,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2020-04-01,2726,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2020-05-01,10763,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2020-06-01,16766,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2020-07-01,16093,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2020-08-01,17102,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2020-09-01,16072,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2020-10-01,15120,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2020-11-01,16794,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2020-12-01,20432,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-01-01,14154,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-02-01,12574,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-03-01,19318,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-04-01,18932,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-05-01,19260,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-06-01,17230,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-07-01,22841,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-08-01,21220,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-09-01,14456,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-10-01,17167,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-11-01,21777,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2021-12-01,24198,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Columbus,2019-01-01,5702,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2019-02-01,6463,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2019-03-01,10881,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2019-04-01,10610,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2019-05-01,12354,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2019-06-01,12674,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2019-07-01,15434,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2019-08-01,21573,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2019-09-01,9842,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2019-10-01,9610,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2019-11-01,18508,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2019-12-01,18583,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-01-01,9206,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-02-01,8739,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-03-01,5311,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-04-01,137,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-05-01,4228,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-06-01,12121,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-07-01,12847,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-08-01,18828,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-09-01,11604,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-10-01,10326,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-11-01,13953,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2020-12-01,15534,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-01-01,8283,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-02-01,6305,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-03-01,12264,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-04-01,10448,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-05-01,11860,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-06-01,8996,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-07-01,12897,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-08-01,15060,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-09-01,6603,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-10-01,8068,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-11-01,13084,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Columbus,2021-12-01,13951,COLUM1,COLUM1,Columbus Outlet Center,Regional Destinations,North
Tanger Outlets Commerce,2019-01-01,7840,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2019-02-01,8251,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2019-03-01,11196,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2019-04-01,11174,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2019-05-01,12591,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2019-06-01,12538,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2019-07-01,16675,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2019-08-01,13972,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2019-09-01,11270,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2019-10-01,12333,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2019-11-01,19644,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2019-12-01,21931,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-01-01,11569,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-02-01,11378,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-03-01,6472,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-04-01,569,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-05-01,7743,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-06-01,13829,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-07-01,14793,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-08-01,15386,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-09-01,12195,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-10-01,12756,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-11-01,16948,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2020-12-01,22040,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-01-01,11872,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-02-01,10019,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-03-01,13177,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-04-01,12589,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-05-01,13036,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-06-01,10773,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-07-01,16329,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-08-01,12055,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-09-01,9380,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-10-01,11577,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-11-01,16160,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Commerce,2021-12-01,18811,COMME2,COMME2,Commerce Outlet Center,Drive-By Destinations,South
Tanger Outlets Daytona,2019-01-01,8003,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2019-02-01,7436,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2019-03-01,11906,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2019-04-01,12322,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2019-05-01,11150,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2019-06-01,13139,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2019-07-01,14832,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2019-08-01,12690,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
